Field,Value
address1,"No.3009, BYD Road"
address2,Pingshan District
city,Shenzhen
zip,518118
country,China
phone,86 755 8988 8888
website,https://www.bydglobal.com
industry,Auto Manufacturers
industryKey,auto-manufacturers
industryDisp,Auto Manufacturers
sector,Consumer Cyclical
sectorKey,consumer-cyclical
sectorDisp,Consumer Cyclical
longBusinessSummary,"BYD Company Limited, together with its subsidiaries, engages in automobiles and batteries business in the People's Republic of China, Hong Kong, Macau, Taiwan, and internationally. It operates in two segments, Mobile Handset Components, Assembly Service and Other Products; and Automobiles and Related Products and Other Products. The Mobile Handset Components, Assembly Service and Other Products segment manufactures and sells mobile handset components, such as housings and electronic components, and provides assembly services. Its Automobiles and Related Products and Other Products segment is involved in the manufacturing and sale of automobiles, and auto-related molds and components; provision of automobile leasing and after sales services, automobile power batteries, lithium-ion batteries, photovoltaic, and iron battery products; and rail transport and related business. The company develops urban rail transportation business. BYD Company Limited was founded in 1994 and is headquartered in Shenzhen, China."
fullTimeEmployees,869600
